cliente_id;data_registro;idade;genero;localizacao;plano;metodo_pagamento;qtd_meses_assinatura;logins_mensais;horas_uso_mensais;tickets_suporte_mensais;feedback_positivo_mensal;feedback_negativo_mensal;churn_pred
1;2024-07-08;63;F;Costela;Premium;Boleto;27;43;198;9;2;4;0
2;2022-11-13;28;F;Cirino;Básico;PayPal;6;3;180;1;5;4;1
3;2021-09-19;27;M;Fernandes;Premium;Cartão de Crédito;30;36;2;0;6;0;1
4;2021-11-15;47;M;Gonçalves de da Rosa;Standard;Boleto;28;30;169;0;10;4;1
5;2022-04-08;50;F;Aparecida de Goiás;Básico;Boleto;35;2;4;6;7;1;0
6;2024-07-03;68;M;Gomes;Standard;Cartão de Crédito;16;17;78;8;4;2;1
7;2024-01-20;43;F;Montenegro da Mata;Básico;Boleto;32;7;26;3;5;0;1
8;2022-04-10;26;F;Mendonça;Básico;PayPal;12;18;42;7;3;1;1
9;2023-11-15;27;F;Pinto das Flores;Premium;PayPal;31;15;156;6;7;5;0
10;2021-10-08;22;F;da Mata de Freitas;Standard;Cartão de Crédito;19;3;114;3;1;0;1
11;2022-11-27;38;F;das Neves do Amparo;Básico;PayPal;10;8;78;10;7;3;1
12;2023-08-18;48;F;Monteiro;Premium;PayPal;4;50;47;8;4;0;1
13;2023-01-03;26;F;Pinto da Praia;Standard;PayPal;6;4;199;9;9;2;0
14;2021-08-23;48;M;Carvalho;Standard;Boleto;20;34;104;6;8;1;1
15;2022-03-16;20;F;Andrade;Básico;PayPal;5;48;97;8;8;1;1
16;2024-04-30;21;F;Sá;Premium;PayPal;7;0;81;5;5;1;1
17;2023-07-20;29;F;Alves;Premium;Boleto;12;35;97;0;6;5;1
18;2022-05-07;67;M;Moura;Premium;Cartão de Crédito;1;31;50;2;10;0;1
19;2024-01-09;45;F;Alves;Standard;PayPal;16;20;140;10;10;3;1
20;2023-08-25;56;M;Azevedo;Standard;Cartão de Crédito;26;11;41;1;3;4;1
21;2023-09-27;64;M;Araújo de da Costa;Básico;PayPal;16;47;37;0;9;1;1
22;2022-09-18;28;F;Teixeira;Standard;Cartão de Crédito;35;17;120;1;6;3;0
23;2023-07-09;66;F;Ramos do Oeste;Premium;Cartão de Crédito;16;4;107;2;10;1;1
24;2021-08-23;28;M;Pacheco;Básico;Cartão de Crédito;30;36;200;5;9;4;0
